Nom du projet,Secteur,Énergie utilisée,Type de transport,Distance transport (km),Fréquence transport,Matériaux,Taille de l’équipe / locaux,Durée de vie estimée (ans),Budget carbone estimé (tCO2e),Score ESG initial
Projet_1,Production industrielle,renouvelable,ferroviaire,9024.32,mensuelle,"verre, plastique",50,23,465.74,41.17
Projet_2,Production industrielle,fossile,maritime,6746.57,mensuelle,verre,20,49,913.24,13.02
Projet_3,Agriculture durable,mix,routier,7758.34,ponctuelle,"acier, plastique, recyclé",20,9,928.14,65.84
Projet_4,Agriculture durable,mix,maritime,1882.64,hebdomadaire,plastique,100,6,434.42,2.24
Projet_5,Agriculture durable,renouvelable,routier,6243.89,quotidienne,"acier, bois",10,14,411.97,17.3
Projet_6,Projets numériques,mix,aérien,3997.29,quotidienne,bois,200,24,662.24,95.69
Projet_7,Production industrielle,mix,ferroviaire,4892.53,ponctuelle,recyclé,50,16,987.86,80.95
Projet_8,Agriculture durable,renouvelable,routier,6070.37,ponctuelle,"bois, recyclé, béton",100,33,213.36,78.6
Projet_9,Construction immobilière,fossile,routier,2738.25,ponctuelle,"béton, recyclé, bois",5,7,568.88,12.25
Projet_10,Transport / logistique,fossile,ferroviaire,2705.0,mensuelle,bois,100,13,763.17,35.88
Projet_11,Production industrielle,renouvelable,maritime,7496.19,ponctuelle,"recyclé, acier",200,49,781.78,92.76
Projet_12,Production industrielle,fossile,aérien,9096.87,hebdomadaire,"acier, bois, béton",200,18,499.29,84.75
Projet_13,Agriculture durable,fossile,routier,8335.64,ponctuelle,"bois, acier",200,9,671.11,70.7
Projet_14,Construction immobilière,fossile,ferroviaire,8178.39,mensuelle,"béton, acier",20,47,425.69,42.75
Projet_15,Projets numériques,mix,maritime,496.07,hebdomadaire,verre,5,39,296.04,43.8
Projet_16,Agriculture durable,fossile,aérien,788.3,mensuelle,"béton, plastique",50,29,948.2,19.56
Projet_17,Construction immobilière,mix,aérien,7484.33,hebdomadaire,"béton, recyclé",5,19,810.6,35.96
Projet_18,Construction immobilière,mix,routier,3045.38,hebdomadaire,"recyclé, acier, plastique",100,36,269.04,39.13
Projet_19,Transport / logistique,renouvelable,routier,9895.82,ponctuelle,"recyclé, plastique",10,16,292.03,93.14
Projet_20,Agriculture durable,fossile,routier,5063.15,mensuelle,"verre, acier",20,43,16.4,63.48
Projet_21,Production industrielle,renouvelable,ferroviaire,8859.27,quotidienne,"béton, verre, acier",10,36,432.23,62.77
